tur,adi,adres,mahalle,ilce
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,SİNCAN AİLE YAŞAM MERKEZİ,Yunus Emre Mh. Gazi Mustafa Kemal Bulvarı No: 14 Sincan,YUNUS EMRE,SİNCAN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,ESERTEPE AİLE YAŞAM MERKEZİ,ŞHT. MUSTAFA ERCİGEZ CD NO:2,ESERTEPE,KEÇİÖREN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,YAHYALAR AİLE YAŞAM MERKEZİ,İVEDİKKÖY MAH. 990/1.SOKAK,İVEDİKKÖY,YENİMAHALLE
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,POLATLI AİLE YAŞAM MERKEZİ,ZAFER MAH. ADNAN MENDERES CAD.84/A ,ZAFER,POLATLI
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,YENİMAHALLE GENÇLİK MERKEZİ,EMNİYET M.SİLAHTAR C.36,EMNİYET,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Zafer Mah.,ZAFER,POLATLI
BELMEK - BELTEK,BELMEK ,Yıldırım Beyazıt Mah.,YILDIRIM BEYAZIT,ÇUBUK
BELMEK - BELTEK,BELMEK ,Yeşilbayır Mah.,YEŞİLBAYIR,MAMAK
BELMEK - BELTEK,BELMEK ,Yeniçağ Mah.,YENİÇAĞ,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Etlik Mah.,AŞAĞI EĞLENCE,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Üreğil Mah.,ÜREĞİL,MAMAK
BELMEK - BELTEK,BELMEK ,Uyanış mah.,UYANIŞ,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Büyükestat Mah.,BÜYÜKESAT,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Ufuktepe mah.,OSMANGAZİ,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Turgut Özal Mah.,TURGUT ÖZAL,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Törekent Mah.,TÖREKENT,SİNCAN
BELMEK - BELTEK,BELMEK ,Tepebaşı Mah.,TEPEBAŞI,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Kırkkonaklar Mah.,KIRKKONAKLAR,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Şeker Mah.,30 AĞUSTOS,ETİMESGUT
BELMEK - BELTEK,BELMEK ,Akdere Mah.,TÜRKÖZÜ,MAMAK
BELMEK - BELTEK,BELMEK ,Şefkat Mah.,ŞEFKAT,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Şafaktepe Mah.,ŞAFAKTEPE,MAMAK
BELMEK - BELTEK,BELMEK ,Süvari Mah.,SÜVARİ,ETİMESGUT
BELMEK - BELTEK,BELMEK ,Sancak Mah.,SANCAK,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Aşağı Ayrancı Mah.,REMZİ OĞUZ ARIK,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Etlik Mah.,ETLİK,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Kuşcağız Mah.,KUŞCAĞIZ,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Kentkoop Mah.,KENTKOOP,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Subayevleri Mah.,KAVACIK SUBAYEVLERİ,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Kamil Ocak Mah.,KAMİL OCAK,KEÇİÖREN
